"Account","Beginning Of Interval","Followers"
"Cristina Kirchner",2017-07-23,359035
"Cristina Kirchner",2017-07-24,359405
"Cristina Kirchner",2017-07-25,359725
"Cristina Kirchner",2017-07-26,360066
"Cristina Kirchner",2017-07-27,360372
"Cristina Kirchner",2017-07-28,360604
"Cristina Kirchner",2017-07-29,360968
"Cristina Kirchner",2017-07-30,361304
"Cristina Kirchner",2017-07-31,361734
"Cristina Kirchner",2017-08-01,362070
"Cristina Kirchner",2017-08-02,362346
"Cristina Kirchner",2017-08-03,362619
"Cristina Kirchner",2017-08-04,362884
"Cristina Kirchner",2017-08-05,363165
"Cristina Kirchner",2017-08-06,363448
"Cristina Kirchner",2017-08-07,363751
"Cristina Kirchner",2017-08-08,364106
"Cristina Kirchner",2017-08-09,364413
"Cristina Kirchner",2017-08-10,364820
"Cristina Kirchner",2017-08-11,365144
"Cristina Kirchner",2017-08-12,365438
"Cristina Kirchner",2017-08-13,367532
"Cristina Kirchner",2017-08-14,369414
"Cristina Kirchner",2017-08-15,369846
"Cristina Kirchner",2017-08-16,370191
"Cristina Kirchner",2017-08-17,370577
"Cristina Kirchner",2017-08-18,370813
"Cristina Kirchner",2017-08-19,371086
"Cristina Kirchner",2017-08-20,371343
"Cristina Kirchner",2017-08-21,371608
"Cristina Kirchner",2017-08-22,371834
"Cristina Kirchner",2017-08-23,372051
"Cristina Kirchner",2017-08-24,372318
"Cristina Kirchner",2017-08-25,372588
"Cristina Kirchner",2017-08-26,372912
"Cristina Kirchner",2017-08-27,373176
"Cristina Kirchner",2017-08-28,373428
"Cristina Kirchner",2017-08-29,373703
"Cristina Kirchner",2017-08-30,374061
"Cristina Kirchner",2017-08-31,374340
"Cristina Kirchner",2017-09-01,374340
"Cristina Kirchner",2017-09-02,375138
"Cristina Kirchner",2017-09-03,375333
"Cristina Kirchner",2017-09-04,375608
"Cristina Kirchner",2017-09-05,375724
"Cristina Kirchner",2017-09-06,375946
"Cristina Kirchner",2017-09-07,376130
"Cristina Kirchner",2017-09-08,376212
"Cristina Kirchner",2017-09-09,376353
"Cristina Kirchner",2017-09-10,376570
"Cristina Kirchner",2017-09-11,376859
"Cristina Kirchner",2017-09-12,376942
"Cristina Kirchner",2017-09-13,377133
"Cristina Kirchner",2017-09-14,377716
"Cristina Kirchner",2017-09-15,378346
"Cristina Kirchner",2017-09-16,378691
"Cristina Kirchner",2017-09-17,378862
"Cristina Kirchner",2017-09-18,379123
"Cristina Kirchner",2017-09-19,379715
"Cristina Kirchner",2017-09-20,380265
"Cristina Kirchner",2017-09-21,380664
"Cristina Kirchner",2017-09-22,380929
"Cristina Kirchner",2017-09-23,381249
"Cristina Kirchner",2017-09-24,381524
"Cristina Kirchner",2017-09-25,381864
"Cristina Kirchner",2017-09-26,382121
"Cristina Kirchner",2017-09-27,382383
"Cristina Kirchner",2017-09-28,382880
"Cristina Kirchner",2017-09-29,383187
"Cristina Kirchner",2017-09-30,383417
"Cristina Kirchner",2017-10-01,383697
"Cristina Kirchner",2017-10-02,384188
"Cristina Kirchner",2017-10-03,384599
"Cristina Kirchner",2017-10-04,384940
"Cristina Kirchner",2017-10-05,385261
"Cristina Kirchner",2017-10-06,385420
"Cristina Kirchner",2017-10-07,385581
"Cristina Kirchner",2017-10-08,385841
"Cristina Kirchner",2017-10-09,386089
"Cristina Kirchner",2017-10-10,386323
"Cristina Kirchner",2017-10-11,386749
"Cristina Kirchner",2017-10-12,387143
"Cristina Kirchner",2017-10-13,387472
"Cristina Kirchner",2017-10-14,387727
"Cristina Kirchner",2017-10-15,387973
"Cristina Kirchner",2017-10-16,388732
"Cristina Kirchner",2017-10-17,389620
"Cristina Kirchner",2017-10-18,390124
"Cristina Kirchner",2017-10-19,390504
"Cristina Kirchner",2017-10-20,390806
"Cristina Kirchner",2017-10-21,391108
"Cristina Kirchner",2017-10-22,392210
"Cristina Kirchner",2017-10-23,392853
"Cristina Kirchner",2017-10-24,393218
"Cristina Kirchner",2017-10-25,393553
"Cristina Kirchner",2017-10-26,393886
"Cristina Kirchner",2017-10-27,394239
"Cristina Kirchner",2017-10-28,394505
"Cristina Kirchner",2017-10-29,394832
"Cristina Kirchner",2017-10-30,395150
"Cristina Kirchner",2017-10-31,395368
"Cristina Kirchner",2017-11-01,395563
"Cristina Kirchner",2017-11-02,395857
"Cristina Kirchner",2017-11-03,396133
"Cristina Kirchner",2017-11-04,396384
"Cristina Kirchner",2017-11-05,396647
"Cristina Kirchner",2017-11-06,396941
"Cristina Kirchner",2017-11-07,397204
"Cristina Kirchner",2017-11-08,397438
"Cristina Kirchner",2017-11-09,397659
"Cristina Kirchner",2017-11-10,397938
"Cristina Kirchner",2017-11-11,398148
"Cristina Kirchner",2017-11-12,398432
"Cristina Kirchner",2017-11-13,398631
"Cristina Kirchner",2017-11-14,398824
"Cristina Kirchner",2017-11-15,399038
"Cristina Kirchner",2017-11-16,399222
"Cristina Kirchner",2017-11-17,399378
"Cristina Kirchner",2017-11-18,399490
"Cristina Kirchner",2017-11-19,399602
"Cristina Kirchner",2017-11-20,399718
"Cristina Kirchner",2017-11-21,399889
"Cristina Kirchner",2017-11-22,400070
"Cristina Kirchner",2017-11-23,400210
"Cristina Kirchner",2017-11-24,400345
"Cristina Kirchner",2017-11-25,400465
"Cristina Kirchner",2017-11-26,400621
"Cristina Kirchner",2017-11-27,400730
"Cristina Kirchner",2017-11-28,400831
"Cristina Kirchner",2017-11-29,401637
"Cristina Kirchner",2017-11-30,401929
"Cristina Kirchner",2017-12-01,402165
"Cristina Kirchner",2017-12-02,402318
"Cristina Kirchner",2017-12-03,402489
"Cristina Kirchner",2017-12-04,402626
"Cristina Kirchner",2017-12-05,402879
"Cristina Kirchner",2017-12-06,403076
"Cristina Kirchner",2017-12-07,403445
"Cristina Kirchner",2017-12-08,403679
"Cristina Kirchner",2017-12-09,404116
"Cristina Kirchner",2017-12-10,404366
"Cristina Kirchner",2017-12-11,404588
"Cristina Kirchner",2017-12-12,404756
"Cristina Kirchner",2017-12-13,404988
"Cristina Kirchner",2017-12-14,405625
"Cristina Kirchner",2017-12-15,405976
"Cristina Kirchner",2017-12-16,406181
"Cristina Kirchner",2017-12-17,406347
"Cristina Kirchner",2017-12-18,406962
"Cristina Kirchner",2017-12-19,407454
"Cristina Kirchner",2017-12-20,407723
"Cristina Kirchner",2017-12-21,407942
"Cristina Kirchner",2017-12-22,408152
"Cristina Kirchner",2017-12-23,408306
"Cristina Kirchner",2017-12-24,408450
"Cristina Kirchner",2017-12-25,408672
"Cristina Kirchner",2017-12-26,408814
"Cristina Kirchner",2017-12-27,409332
"Cristina Kirchner",2017-12-28,409775
"Cristina Kirchner",2017-12-29,410122
"Cristina Kirchner",2017-12-30,410365
"Cristina Kirchner",2017-12-31,410537
"Cristina Kirchner",2018-01-01,410755
"Cristina Kirchner",2018-01-02,410921
"Cristina Kirchner",2018-01-03,411084
"Cristina Kirchner",2018-01-04,411222
"Cristina Kirchner",2018-01-05,411377
"Cristina Kirchner",2018-01-06,411504
"Cristina Kirchner",2018-01-07,411646
"Cristina Kirchner",2018-01-08,411793
"Cristina Kirchner",2018-01-09,411944
"Cristina Kirchner",2018-01-10,412073
"Cristina Kirchner",2018-01-11,412231
"Cristina Kirchner",2018-01-12,412392
"Cristina Kirchner",2018-01-13,412591
"Cristina Kirchner",2018-01-14,412885
"Cristina Kirchner",2018-01-15,413005
"Cristina Kirchner",2018-01-16,413208
"Cristina Kirchner",2018-01-17,413458
"Cristina Kirchner",2018-01-18,413661
"Cristina Kirchner",2018-01-19,413803
"Cristina Kirchner",2018-01-20,413945
"Cristina Kirchner",2018-01-21,414054
"Cristina Kirchner",2018-01-22,414176
"Cristina Kirchner",2018-01-23,414369
"Cristina Kirchner",2018-01-24,414712
"Cristina Kirchner",2018-01-25,414927
"Cristina Kirchner",2018-01-26,415144
"Cristina Kirchner",2018-01-27,415328
"Cristina Kirchner",2018-01-28,415492
"Cristina Kirchner",2018-01-29,415678
"Cristina Kirchner",2018-01-30,416085
"Cristina Kirchner",2018-01-31,416342
"Cristina Kirchner",2018-02-01,416580
"Cristina Kirchner",2018-02-02,416832
"Cristina Kirchner",2018-02-03,417038
"Cristina Kirchner",2018-02-04,417196
"Cristina Kirchner",2018-02-05,417328
"Cristina Kirchner",2018-02-06,417516
"Cristina Kirchner",2018-02-07,417674
"Cristina Kirchner",2018-02-08,417857
"Cristina Kirchner",2018-02-09,418019
"Cristina Kirchner",2018-02-10,418138
"Cristina Kirchner",2018-02-11,418288
"Cristina Kirchner",2018-02-12,418390
"Cristina Kirchner",2018-02-13,418508
"Cristina Kirchner",2018-02-14,418614
"Cristina Kirchner",2018-02-15,418711
"Cristina Kirchner",2018-02-16,418820
"Cristina Kirchner",2018-02-17,418980
"Cristina Kirchner",2018-02-18,419171
"Cristina Kirchner",2018-02-19,420075
"Cristina Kirchner",2018-02-20,420537
"Cristina Kirchner",2018-02-21,420888
"Cristina Kirchner",2018-02-22,421123
"Cristina Kirchner",2018-02-23,421334
"Cristina Kirchner",2018-02-24,421492
"Cristina Kirchner",2018-02-25,421728
"Cristina Kirchner",2018-02-26,421908
"Cristina Kirchner",2018-02-27,422088
"Cristina Kirchner",2018-02-28,422252
"Cristina Kirchner",2018-03-01,422451
"Cristina Kirchner",2018-03-02,422607
"Cristina Kirchner",2018-03-03,422715
"Cristina Kirchner",2018-03-04,422829
"Cristina Kirchner",2018-03-05,422933
"Cristina Kirchner",2018-03-06,423066
"Cristina Kirchner",2018-03-07,423165
"Cristina Kirchner",2018-03-08,423339
"Cristina Kirchner",2018-03-09,423524
"Cristina Kirchner",2018-03-10,423668
"Cristina Kirchner",2018-03-11,423790
"Cristina Kirchner",2018-03-12,423909
"Cristina Kirchner",2018-03-13,424175
"Cristina Kirchner",2018-03-14,424306
"Cristina Kirchner",2018-03-15,424476
"Cristina Kirchner",2018-03-16,424643
"Cristina Kirchner",2018-03-17,424777
"Cristina Kirchner",2018-03-18,424914
"Cristina Kirchner",2018-03-19,425069
"Cristina Kirchner",2018-03-20,425253
"Cristina Kirchner",2018-03-21,425454
"Cristina Kirchner",2018-03-22,425622
"Cristina Kirchner",2018-03-23,425932
"Cristina Kirchner",2018-03-24,425932
"Cristina Kirchner",2018-03-25,425932
"Cristina Kirchner",2018-03-26,427002
"Cristina Kirchner",2018-03-27,427184
"Cristina Kirchner",2018-03-28,427456
"Cristina Kirchner",2018-03-29,427456
"Cristina Kirchner",2018-03-30,427736
"Cristina Kirchner",2018-03-31,427914
"Cristina Kirchner",2018-04-01,428196
"Cristina Kirchner",2018-04-02,428451
"Cristina Kirchner",2018-04-03,428591
"Cristina Kirchner",2018-04-04,428753
"Cristina Kirchner",2018-04-05,429042
"Cristina Kirchner",2018-04-06,429373
"Cristina Kirchner",2018-04-07,429639
"Cristina Kirchner",2018-04-08,429908
"Cristina Kirchner",2018-04-09,430129
"Cristina Kirchner",2018-04-10,430342
"Cristina Kirchner",2018-04-11,430531
"Cristina Kirchner",2018-04-12,430942
"Cristina Kirchner",2018-04-13,431192
"Cristina Kirchner",2018-04-14,431389
"Cristina Kirchner",2018-04-15,431570
"Cristina Kirchner",2018-04-16,431837
"Cristina Kirchner",2018-04-17,432090
"Cristina Kirchner",2018-04-18,432378
"Cristina Kirchner",2018-04-19,432645
"Cristina Kirchner",2018-04-20,432838
"Cristina Kirchner",2018-04-21,433034
"Cristina Kirchner",2018-04-22,433237
"Cristina Kirchner",2018-04-23,433471
"Cristina Kirchner",2018-04-24,433699
"Cristina Kirchner",2018-04-25,433925
"Cristina Kirchner",2018-04-26,434358
"Cristina Kirchner",2018-04-27,434558
"Cristina Kirchner",2018-04-28,434731
"Cristina Kirchner",2018-04-29,434958
"Cristina Kirchner",2018-04-30,435135
"Cristina Kirchner",2018-05-01,435971
"Cristina Kirchner",2018-05-02,436299
"Cristina Kirchner",2018-05-03,436586
"Cristina Kirchner",2018-05-04,436586
"Cristina Kirchner",2018-05-05,436586
"Cristina Kirchner",2018-05-06,436586
"Cristina Kirchner",2018-05-07,437750
"Cristina Kirchner",2018-05-08,438145
"Cristina Kirchner",2018-05-09,438510
"Cristina Kirchner",2018-05-10,438823
"Cristina Kirchner",2018-05-11,439139
"Cristina Kirchner",2018-05-12,439319
"Cristina Kirchner",2018-05-13,439555
"Cristina Kirchner",2018-05-14,439947
"Cristina Kirchner",2018-05-15,440366
"Cristina Kirchner",2018-05-16,440494
"Cristina Kirchner",2018-05-17,440810
"Cristina Kirchner",2018-05-18,440917
"Cristina Kirchner",2018-05-19,441135
"Cristina Kirchner",2018-05-20,441371
"Cristina Kirchner",2018-05-21,441589
"Cristina Kirchner",2018-05-22,441798
"Cristina Kirchner",2018-05-23,442126
"Cristina Kirchner",2018-05-24,442234
"Cristina Kirchner",2018-05-25,442630
"Cristina Kirchner",2018-05-26,442914
"Cristina Kirchner",2018-05-27,443182
"Cristina Kirchner",2018-05-28,445553
"Cristina Kirchner",2018-05-29,446299
"Cristina Kirchner",2018-05-30,446840
"Cristina Kirchner",2018-05-31,448270
"Cristina Kirchner",2018-06-01,448849
"Cristina Kirchner",2018-06-02,449214
"Cristina Kirchner",2018-06-03,449564
"Cristina Kirchner",2018-06-04,449921
"Cristina Kirchner",2018-06-05,450189
"Cristina Kirchner",2018-06-06,450381
"Cristina Kirchner",2018-06-07,450575
"Cristina Kirchner",2018-06-08,450808
"Cristina Kirchner",2018-06-09,450978
"Cristina Kirchner",2018-06-10,451162
"Cristina Kirchner",2018-06-11,451244
"Cristina Kirchner",2018-06-12,451366
"Cristina Kirchner",2018-06-13,451551
"Cristina Kirchner",2018-06-14,451842
"Cristina Kirchner",2018-06-15,451979
"Cristina Kirchner",2018-06-16,451968
"Cristina Kirchner",2018-06-17,452059
"Cristina Kirchner",2018-06-18,452104
"Cristina Kirchner",2018-06-19,452186
"Cristina Kirchner",2018-06-20,452273
"Cristina Kirchner",2018-06-21,452358
"Cristina Kirchner",2018-06-22,452433
"Cristina Kirchner",2018-06-23,452525
"Cristina Kirchner",2018-06-24,452608
"Cristina Kirchner",2018-06-25,452696
"Cristina Kirchner",2018-06-26,452777
"Cristina Kirchner",2018-06-27,452865
"Cristina Kirchner",2018-06-28,452978
"Cristina Kirchner",2018-06-29,453070
"Cristina Kirchner",2018-06-30,453186
"Cristina Kirchner",2018-07-01,453262
"Cristina Kirchner",2018-07-02,453361
"Cristina Kirchner",2018-07-03,453466
"Cristina Kirchner",2018-07-04,453574
"Cristina Kirchner",2018-07-05,453685
"Cristina Kirchner",2018-07-06,453789
"Cristina Kirchner",2018-07-07,453906
"Cristina Kirchner",2018-07-08,454046
"Cristina Kirchner",2018-07-09,454221
"Cristina Kirchner",2018-07-10,454321
"Cristina Kirchner",2018-07-11,454420
"Cristina Kirchner",2018-07-12,454591
"Cristina Kirchner",2018-07-13,454709
"Cristina Kirchner",2018-07-14,454780
"Cristina Kirchner",2018-07-15,454839
"Cristina Kirchner",2018-07-16,454944
"Cristina Kirchner",2018-07-17,455141
"Cristina Kirchner",2018-07-18,455358
"Cristina Kirchner",2018-07-19,455662
"Cristina Kirchner",2018-07-20,455872
"Cristina Kirchner",2018-07-21,456009
"Cristina Kirchner",2018-07-22,456203
"Cristina Kirchner",2018-07-23,456432
"Cristina Kirchner",2018-07-24,456669
"Cristina Kirchner",2018-07-25,456824
"Cristina Kirchner",2018-07-26,457052
"Cristina Kirchner",2018-07-27,457221
"Cristina Kirchner",2018-07-28,457435
"Cristina Kirchner",2018-07-29,457613
"Cristina Kirchner",2018-07-30,457719
"Cristina Kirchner",2018-07-31,457920
"Cristina Kirchner",2018-08-01,458124
"Cristina Kirchner",2018-08-02,458562
"Cristina Kirchner",2018-08-03,459599
"Cristina Kirchner",2018-08-04,460339
"Cristina Kirchner",2018-08-05,461072
"Cristina Kirchner",2018-08-06,461942
"Cristina Kirchner",2018-08-07,462677
"Cristina Kirchner",2018-08-08,464560
"Cristina Kirchner",2018-08-09,466074
"Cristina Kirchner",2018-08-10,466889
"Cristina Kirchner",2018-08-11,467463
"Cristina Kirchner",2018-08-12,468046
"Cristina Kirchner",2018-08-13,468997
"Cristina Kirchner",2018-08-14,469569
"Cristina Kirchner",2018-08-15,470302
"Cristina Kirchner",2018-08-16,470302
"Cristina Kirchner",2018-08-17,471540
"Cristina Kirchner",2018-08-18,472053
"Cristina Kirchner",2018-08-19,472724
"Cristina Kirchner",2018-08-20,473295
"Cristina Kirchner",2018-08-21,474039
"Cristina Kirchner",2018-08-22,476546
"Cristina Kirchner",2018-08-23,479722
"Cristina Kirchner",2018-08-24,480936
"Cristina Kirchner",2018-08-25,481782
"Cristina Kirchner",2018-08-26,482507
"Cristina Kirchner",2018-08-27,483250
"Cristina Kirchner",2018-08-28,484153
"Cristina Kirchner",2018-08-29,485322
"Cristina Kirchner",2018-08-30,486962
"Cristina Kirchner",2018-08-31,487804
"Cristina Kirchner",2018-09-01,488463
"Cristina Kirchner",2018-09-02,489548
"Cristina Kirchner",2018-09-03,490557
"Cristina Kirchner",2018-09-04,491166
"Cristina Kirchner",2018-09-05,491816
"Cristina Kirchner",2018-09-06,492425
"Cristina Kirchner",2018-09-07,492910
"Cristina Kirchner",2018-09-08,493283
"Cristina Kirchner",2018-09-09,493817
"Cristina Kirchner",2018-09-10,494263
"Cristina Kirchner",2018-09-11,494761
"Cristina Kirchner",2018-09-12,495271
"Cristina Kirchner",2018-09-13,495699
"Cristina Kirchner",2018-09-14,496055
"Cristina Kirchner",2018-09-15,496577
"Cristina Kirchner",2018-09-16,497681
"Cristina Kirchner",2018-09-17,498540
"Cristina Kirchner",2018-09-18,499368
"Cristina Kirchner",2018-09-19,499865
"Cristina Kirchner",2018-09-20,500420
"Cristina Kirchner",2018-09-21,500827
"Cristina Kirchner",2018-09-22,501244
"Cristina Kirchner",2018-09-23,501616
"Cristina Kirchner",2018-09-24,502050
"Cristina Kirchner",2018-09-25,502493
"Cristina Kirchner",2018-09-26,502803
"Cristina Kirchner",2018-09-27,503118
"Cristina Kirchner",2018-09-28,503480
"Cristina Kirchner",2018-09-29,503743
"Cristina Kirchner",2018-09-30,503743
"Cristina Kirchner",2018-10-01,503743
"Cristina Kirchner",2018-10-02,504545
"Cristina Kirchner",2018-10-03,504802
"Cristina Kirchner",2018-10-04,505005
"Cristina Kirchner",2018-10-05,505245
"Cristina Kirchner",2018-10-06,505493
"Cristina Kirchner",2018-10-07,505710
"Cristina Kirchner",2018-10-08,505960
"Cristina Kirchner",2018-10-09,506216
"Cristina Kirchner",2018-10-10,506675
"Cristina Kirchner",2018-10-11,507376
"Cristina Kirchner",2018-10-12,507819
"Cristina Kirchner",2018-10-13,508186
"Cristina Kirchner",2018-10-14,508567
"Cristina Kirchner",2018-10-15,508988
"Cristina Kirchner",2018-10-16,509378
"Cristina Kirchner",2018-10-17,509952
"Cristina Kirchner",2018-10-18,510287
"Cristina Kirchner",2018-10-19,510687
"Cristina Kirchner",2018-10-20,511016
"Cristina Kirchner",2018-10-21,511428
"Cristina Kirchner",2018-10-22,511709
"Cristina Kirchner",2018-10-23,512074
"Cristina Kirchner",2018-10-24,512074
"Cristina Kirchner",2018-10-25,512817
"Cristina Kirchner",2018-10-26,513120
"Cristina Kirchner",2018-10-27,514041
"Cristina Kirchner",2018-10-28,514596
"Cristina Kirchner",2018-10-29,515330
"Cristina Kirchner",2018-10-30,516290
"Cristina Kirchner",2018-10-31,516863
"Cristina Kirchner",2018-11-01,517393
"Cristina Kirchner",2018-11-02,518072
"Cristina Kirchner",2018-11-03,518658
"Cristina Kirchner",2018-11-04,519262
"Cristina Kirchner",2018-11-05,519874
"Cristina Kirchner",2018-11-06,520449
"Cristina Kirchner",2018-11-07,521007
"Cristina Kirchner",2018-11-08,521517
"Cristina Kirchner",2018-11-09,522113
"Cristina Kirchner",2018-11-10,522642
"Cristina Kirchner",2018-11-11,523108
"Cristina Kirchner",2018-11-12,523545
"Cristina Kirchner",2018-11-13,523982
"Cristina Kirchner",2018-11-14,524474
"Cristina Kirchner",2018-11-15,525028
"Cristina Kirchner",2018-11-16,525393
"Cristina Kirchner",2018-11-17,525880
"Cristina Kirchner",2018-11-18,526352
"Cristina Kirchner",2018-11-19,528697
"Cristina Kirchner",2018-11-20,529603
"Cristina Kirchner",2018-11-21,530227
"Cristina Kirchner",2018-11-22,531021
"Cristina Kirchner",2018-11-23,531698
"Cristina Kirchner",2018-11-24,532378
"Cristina Kirchner",2018-11-25,532956
"Cristina Kirchner",2018-11-26,533588
"Cristina Kirchner",2018-11-27,534231
"Cristina Kirchner",2018-11-28,534709
"Cristina Kirchner",2018-11-29,535346
"Cristina Kirchner",2018-11-30,535346
"Cristina Kirchner",2018-12-01,536699
"Cristina Kirchner",2018-12-02,537284
"Cristina Kirchner",2018-12-03,537802
"Cristina Kirchner",2018-12-04,538278
"Cristina Kirchner",2018-12-05,538762
"Cristina Kirchner",2018-12-06,539105
"Cristina Kirchner",2018-12-07,539447
"Cristina Kirchner",2018-12-08,539751
"Cristina Kirchner",2018-12-09,540207
"Cristina Kirchner",2018-12-10,540496
"Cristina Kirchner",2018-12-11,541021
"Cristina Kirchner",2018-12-12,541333
"Cristina Kirchner",2018-12-13,541836
"Cristina Kirchner",2018-12-14,542510
"Cristina Kirchner",2018-12-15,543247
"Cristina Kirchner",2018-12-16,543837
"Cristina Kirchner",2018-12-17,544368
"Cristina Kirchner",2018-12-18,544831
"Cristina Kirchner",2018-12-19,545305
"Cristina Kirchner",2018-12-20,545768
"Cristina Kirchner",2018-12-21,546214
"Cristina Kirchner",2018-12-22,546520
"Cristina Kirchner",2018-12-23,546961
"Cristina Kirchner",2018-12-24,547421
"Cristina Kirchner",2018-12-25,547833
"Cristina Kirchner",2018-12-26,548277
"Cristina Kirchner",2018-12-27,548790
"Cristina Kirchner",2018-12-28,549403
"Cristina Kirchner",2018-12-29,549965
"Cristina Kirchner",2018-12-30,550485
"Cristina Kirchner",2018-12-31,551844
"Cristina Kirchner",2019-01-01,552676
"Cristina Kirchner",2019-01-02,553386
"Cristina Kirchner",2019-01-03,554129
"Cristina Kirchner",2019-01-04,554803
"Cristina Kirchner",2019-01-05,555434
"Cristina Kirchner",2019-01-06,556113
"Cristina Kirchner",2019-01-07,556630
"Cristina Kirchner",2019-01-08,557236
"Cristina Kirchner",2019-01-09,557810
"Cristina Kirchner",2019-01-10,558316
"Cristina Kirchner",2019-01-11,558837
"Cristina Kirchner",2019-01-12,559448
"Cristina Kirchner",2019-01-13,560025
"Cristina Kirchner",2019-01-14,560598
"Cristina Kirchner",2019-01-15,561092
"Cristina Kirchner",2019-01-16,561691
"Cristina Kirchner",2019-01-17,562194
"Cristina Kirchner",2019-01-18,562613
"Cristina Kirchner",2019-01-19,562937
"Cristina Kirchner",2019-01-20,563343
"Cristina Kirchner",2019-01-21,563719
"Cristina Kirchner",2019-01-22,564203
"Cristina Kirchner",2019-01-23,564679
"Cristina Kirchner",2019-01-24,565229
"Cristina Kirchner",2019-01-25,565643
"Cristina Kirchner",2019-01-26,566097
"Cristina Kirchner",2019-01-27,566496
"Cristina Kirchner",2019-01-28,566848
"Cristina Kirchner",2019-01-29,567105
"Cristina Kirchner",2019-01-30,567359
"Cristina Kirchner",2019-01-31,567640
"Cristina Kirchner",2019-02-01,567920
"Cristina Kirchner",2019-02-02,568161
"Cristina Kirchner",2019-02-03,568230
"Cristina Kirchner",2019-02-04,568786
"Cristina Kirchner",2019-02-05,569116
"Cristina Kirchner",2019-02-06,569480
"Cristina Kirchner",2019-02-07,569859
"Cristina Kirchner",2019-02-08,570179
"Cristina Kirchner",2019-02-09,570554
"Cristina Kirchner",2019-02-10,570816
"Cristina Kirchner",2019-02-11,571083
"Cristina Kirchner",2019-02-12,571368
"Cristina Kirchner",2019-02-13,571680
"Cristina Kirchner",2019-02-14,572016
"Cristina Kirchner",2019-02-15,572275
"Cristina Kirchner",2019-02-16,572506
"Cristina Kirchner",2019-02-17,573248
"Cristina Kirchner",2019-02-18,578439
"Cristina Kirchner",2019-02-19,579561
"Cristina Kirchner",2019-02-20,580365
"Cristina Kirchner",2019-02-21,581096
"Cristina Kirchner",2019-02-22,582058
"Cristina Kirchner",2019-02-23,582910
"Cristina Kirchner",2019-02-24,584401
"Cristina Kirchner",2019-02-25,585231
"Cristina Kirchner",2019-02-26,586204
"Cristina Kirchner",2019-02-27,586204
"Cristina Kirchner",2019-02-28,588626
"Cristina Kirchner",2019-03-01,589599
"Cristina Kirchner",2019-03-02,590948
"Cristina Kirchner",2019-03-03,591899
"Cristina Kirchner",2019-03-04,592817
"Cristina Kirchner",2019-03-05,593650
"Cristina Kirchner",2019-03-06,594680
"Cristina Kirchner",2019-03-07,595647
"Cristina Kirchner",2019-03-08,596371
"Cristina Kirchner",2019-03-09,597190
"Cristina Kirchner",2019-03-10,597894
"Cristina Kirchner",2019-03-11,598663
"Cristina Kirchner",2019-03-12,599181
"Cristina Kirchner",2019-03-13,601522
"Cristina Kirchner",2019-03-14,602365
"Cristina Kirchner",2019-03-15,603133
"Cristina Kirchner",2019-03-16,603981
"Cristina Kirchner",2019-03-17,604594
"Cristina Kirchner",2019-03-18,605211
"Cristina Kirchner",2019-03-19,605808
"Cristina Kirchner",2019-03-20,606618
"Cristina Kirchner",2019-03-21,607272
"Cristina Kirchner",2019-03-22,607952
"Cristina Kirchner",2019-03-23,608729
"Cristina Kirchner",2019-03-24,609306
"Cristina Kirchner",2019-03-25,609863
"Cristina Kirchner",2019-03-26,610546
"Cristina Kirchner",2019-03-27,611103
"Cristina Kirchner",2019-03-28,611583
"Cristina Kirchner",2019-03-29,612013
"Cristina Kirchner",2019-03-30,612529
"Cristina Kirchner",2019-03-31,613076
"Cristina Kirchner",2019-04-01,614188
"Cristina Kirchner",2019-04-02,614770
"Cristina Kirchner",2019-04-03,615450
"Cristina Kirchner",2019-04-04,615970
"Cristina Kirchner",2019-04-05,616506
"Cristina Kirchner",2019-04-06,616893
"Cristina Kirchner",2019-04-07,617223
"Cristina Kirchner",2019-04-08,617551
"Cristina Kirchner",2019-04-09,617825
"Cristina Kirchner",2019-04-10,618242
"Cristina Kirchner",2019-04-11,618639
"Cristina Kirchner",2019-04-12,619031
"Cristina Kirchner",2019-04-13,619423
"Cristina Kirchner",2019-04-14,619708
"Cristina Kirchner",2019-04-15,620031
"Cristina Kirchner",2019-04-16,620494
"Cristina Kirchner",2019-04-17,620883
"Cristina Kirchner",2019-04-18,624923
"Cristina Kirchner",2019-04-19,626547
"Cristina Kirchner",2019-04-20,627228
"Cristina Kirchner",2019-04-21,627228
"Cristina Kirchner",2019-04-22,630157
"Cristina Kirchner",2019-04-23,631073
"Cristina Kirchner",2019-04-24,632677
"Cristina Kirchner",2019-04-25,634428
"Cristina Kirchner",2019-04-26,635561
"Cristina Kirchner",2019-04-27,636667
"Cristina Kirchner",2019-04-28,638277
"Cristina Kirchner",2019-04-29,639510
"Cristina Kirchner",2019-04-30,639219
"Cristina Kirchner",2019-05-01,640148
"Cristina Kirchner",2019-05-02,640935
"Cristina Kirchner",2019-05-03,641677
"Cristina Kirchner",2019-05-04,642368
"Cristina Kirchner",2019-05-05,643282
"Cristina Kirchner",2019-05-06,644202
"Cristina Kirchner",2019-05-07,646624
"Cristina Kirchner",2019-05-08,648237
"Cristina Kirchner",2019-05-09,652213
"Cristina Kirchner",2019-05-10,658296
"Cristina Kirchner",2019-05-11,659697
"Cristina Kirchner",2019-05-12,660635
"Cristina Kirchner",2019-05-13,661677
"Cristina Kirchner",2019-05-14,662768
"Cristina Kirchner",2019-05-15,663776
"Cristina Kirchner",2019-05-16,664799
"Cristina Kirchner",2019-05-17,665686
"Cristina Kirchner",2019-05-18,675903
